Frame, Frame Full, Scene
1, 0.036001, 0.001144
2, 0.017881, 0.000677
3, 0.015569, 0.000354
4, 0.01666, 0.000437
5, 0.016703, 0.000707
6, 0.016707, 0.000477
7, 0.016824, 0.000143
8, 0.016487, 0.000125
9, 0.016787, 0.000119
10, 0.016917, 0.00013
11, 0.016417, 0.000135
12, 0.016881, 9.7e-05
13, 0.016819, 0.000121
14, 0.016287, 0.000104
15, 0.016838, 9.8e-05
16, 0.016848, 0.000105
17, 0.016409, 0.000126
18, 0.016725, 9.7e-05
19, 0.017629, 0.000177
20, 0.016186, 0.000109
21, 0.016614, 0.000101
22, 0.016604, 0.000108
23, 0.016489, 9.7e-05
24, 0.016706, 0.000106
25, 0.016627, 0.000112
26, 0.016989, 9.8e-05
27, 0.016526, 0.000123
28, 0.016626, 0.000109
29, 0.016964, 9.9e-05
30, 0.016399, 0.00011
31, 0.016637, 0.000107
32, 0.016952, 0.0001
33, 0.01665, 0.000126
34, 0.01679, 0.0001
35, 0.016869, 0.000129
36, 0.016261, 0.000104
37, 0.01671, 0.000101
38, 0.01697, 0.000125
39, 0.016355, 0.000108
40, 0.016869, 9.8e-05
41, 0.016764, 0.000111
42, 0.016683, 0.000108
43, 0.016788, 0.0001
44, 0.016493, 0.000138
45, 0.016654, 0.000103
46, 0.01683, 0.000107
47, 0.016723, 0.000125
48, 0.016577, 9.5e-05
49, 0.016801, 0.000109
50, 0.016529, 0.000111
51, 0.016839, 9.8e-05
52, 0.016813, 0.000106
53, 0.017038, 0.000106
54, 0.016302, 9.8e-05
55, 0.016686, 0.000105
56, 0.016802, 9.8e-05
57, 0.016455, 0.00011
58, 0.016922, 0.000105
59, 0.016694, 9.9e-05
60, 0.016447, 0.000106
61, 0.016719, 0.000107
62, 0.016842, 0.000102
63, 0.016466, 0.000116
64, 0.0168, 0.000103
65, 0.016915, 0.000101
66, 0.016561, 0.000129
67, 0.016818, 0.000104
68, 0.016571, 0.000136
69, 0.01688, 0.000129
70, 0.016509, 0.000132
71, 0.016816, 0.000123
72, 0.016803, 0.000114
73, 0.016359, 0.000106
74, 0.016665, 0.00011
75, 0.017141, 0.000117
76, 0.016194, 0.0001
77, 0.0167, 0.000129
78, 0.016697, 0.000103
79, 0.016808, 0.000113
80, 0.016624, 0.000121
81, 0.016673, 0.000106
82, 0.016922, 0.000116
83, 0.016724, 0.000128
84, 0.01647, 0.000106
85, 0.016564, 0.000114
86, 0.016784, 0.000101
87, 0.016794, 0.000102
88, 0.016648, 0.00011
89, 0.016833, 9.9e-05
90, 0.016912, 0.00011
91, 0.016383, 0.000106
92, 0.016788, 9.6e-05
93, 0.016563, 0.000107
94, 0.016711, 0.000103
95, 0.016739, 0.0001
96, 0.01664, 0.000107
97, 0.016652, 9.9e-05
98, 0.01686, 0.0001
99, 0.016546, 0.000133
100, 0.016744, 9.8e-05
101, 0.01673, 0.000127
102, 0.016595, 0.000105
103, 0.016719, 9.6e-05
104, 0.016745, 0.000126
105, 0.016614, 0.000108
106, 0.0168, 9.6e-05
107, 0.01686, 0.000107
108, 0.016896, 9.8e-05
109, 0.016505, 9.8e-05
110, 0.016497, 0.000108
111, 0.016862, 0.000101
112, 0.017172, 0.000139
113, 0.01625, 0.000147
114, 0.016781, 9.7e-05
115, 0.016704, 0.00011
116, 0.016615, 0.000104
117, 0.016532, 0.000101
118, 0.016786, 0.000104
119, 0.01685, 9.9e-05
120, 0.016745, 0.000101
121, 0.016442, 0.000126
122, 0.016996, 9.5e-05
123, 0.016416, 0.000137
124, 0.016617, 0.000159
125, 0.016706, 0.000102
126, 0.016986, 0.000117
127, 0.016383, 0.000105
128, 0.016736, 9.6e-05
129, 0.016959, 0.000111
130, 0.016569, 0.000106
131, 0.016686, 9.6e-05
132, 0.016498, 0.00011
133, 0.016838, 0.000101
134, 0.016718, 0.000122
135, 0.017182, 0.000106
136, 0.016098, 0.000126
137, 0.016703, 0.00017
138, 0.016941, 0.000108
139, 0.016547, 9.9e-05
140, 0.016529, 0.000136
141, 0.016784, 0.000102
142, 0.016752, 0.000103
143, 0.016655, 0.000125
144, 0.017016, 9.8e-05
145, 0.016342, 0.000113
146, 0.016662, 0.000105
147, 0.017171, 9.8e-05
148, 0.016308, 0.000109
149, 0.016667, 0.000106
150, 0.017135, 9.8e-05
151, 0.016226, 0.000111
152, 0.017474, 9.7e-05
153, 0.016621, 0.000111
154, 0.016582, 0.000158
155, 0.016222, 9.8e-05
156, 0.016917, 0.000108
157, 0.016356, 0.00011
158, 0.016733, 9.7e-05
159, 0.016862, 0.000106
160, 0.016802, 0.000125
161, 0.016596, 9.9e-05
162, 0.016548, 0.000105
163, 0.016889, 9.7e-05
164, 0.016465, 9.6e-05
165, 0.016764, 0.000109
166, 0.016621, 0.000154
167, 0.016965, 0.000106
168, 0.016737, 0.000169
169, 0.017463, 0.000106
170, 0.015883, 0.000105
171, 0.016598, 0.000106
172, 0.016841, 9.8e-05
173, 0.0165, 0.000109
174, 0.017, 9.8e-05
175, 0.016445, 0.000102
176, 0.016553, 0.000106
177, 0.016768, 0.0001
178, 0.016672, 0.000138
179, 0.016558, 0.000104
180, 0.016808, 0.000101
181, 0.016564, 0.000107
182, 0.016681, 0.000106
183, 0.016776, 9.8e-05
184, 0.016526, 0.000124
185, 0.016865, 0.000102
186, 0.01674, 9.9e-05
187, 0.016842, 0.000105
188, 0.016517, 9.8e-05
189, 0.016562, 0.000113
190, 0.0168, 0.000108
191, 0.016785, 9.8e-05
192, 0.016639, 0.000105
193, 0.016701, 0.000108
194, 0.016748, 9.8e-05
195, 0.01669, 0.000106
196, 0.016847, 9.7e-05
197, 0.016763, 0.00014
198, 0.016532, 0.000106
199, 0.016662, 9.9e-05
200, 0.016658, 0.000106
201, 0.016626, 0.000109
202, 0.016918, 9.8e-05
203, 0.016705, 0.000105
204, 0.01643, 0.000104
205, 0.016789, 0.000102
206, 0.016628, 0.000106
207, 0.016766, 0.0001
208, 0.016961, 9.6e-05
209, 0.016564, 0.000107
210, 0.016534, 9.6e-05
211, 0.017117, 0.000109
212, 0.016232, 0.000111
213, 0.01676, 0.0001
214, 0.016816, 0.000108
215, 0.017103, 0.000107
216, 0.016358, 9.8e-05
217, 0.016857, 0.000109
218, 0.01641, 0.000101
219, 0.016756, 9.8e-05
220, 0.017044, 0.000107
221, 0.016221, 0.0001
222, 0.016872, 0.000105
223, 0.016541, 0.000105
224, 0.016847, 9.6e-05
225, 0.016525, 0.00011
226, 0.016686, 0.00011
227, 0.016857, 0.000128
228, 0.016483, 0.000106
229, 0.016793, 9.9e-05
230, 0.016933, 0.000102
231, 0.016363, 0.000103
232, 0.016793, 0.0001
233, 0.016917, 0.00011
234, 0.016532, 0.000105
235, 0.016862, 0.000101
236, 0.016687, 0.000119
237, 0.017389, 0.000132
238, 0.015929, 9.8e-05
239, 0.016759, 0.000139
240, 0.016488, 9.9e-05
241, 0.016672, 0.000101
242, 0.016993, 0.000107
243, 0.016577, 9.6e-05
244, 0.016518, 0.000115
245, 0.016835, 0.000111
246, 0.016524, 9.7e-05
247, 0.016703, 0.000107
248, 0.01693, 0.000107
249, 0.016442, 9.9e-05
250, 0.016657, 0.000141
251, 0.017095, 9.8e-05
252, 0.016403, 9.7e-05
253, 0.016669, 0.000109
254, 0.017022, 9.7e-05
255, 0.016307, 0.00011
256, 0.016681, 0.000104
257, 0.0173, 0.000101
258, 0.016268, 0.000132
259, 0.01658, 0.000103
260, 0.016864, 0.0001
261, 0.01642, 0.000132
262, 0.016784, 9.8e-05
263, 0.017041, 9.8e-05
264, 0.016278, 0.000111
265, 0.017018, 9.9e-05
266, 0.016416, 0.000153
267, 0.016888, 0.000122
268, 0.016504, 9.8e-05
269, 0.016903, 0.00011
270, 0.016481, 0.000108
271, 0.016776, 9.7e-05
272, 0.016674, 0.000105
273, 0.016923, 0.000102
274, 0.016426, 9.9e-05
275, 0.017356, 0.000108
276, 0.016313, 9.8e-05
277, 0.016431, 0.000111
278, 0.017082, 0.000103
279, 0.016301, 0.000114
280, 0.016922, 0.000155
281, 0.016484, 0.000108
282, 0.016966, 9.9e-05
283, 0.01646, 0.000103
284, 0.016898, 9.9e-05
285, 0.016541, 0.000148
286, 0.016624, 0.000128
287, 0.016813, 9.8e-05
288, 0.016759, 0.000107
289, 0.016473, 0.000112
290, 0.01683, 9.8e-05
291, 0.016679, 0.000154
292, 0.016659, 0.000103
293, 0.01677, 0.000101
294, 0.016533, 0.000135
295, 0.016796, 0.000107
296, 0.016776, 9.8e-05
297, 0.016528, 0.000135
298, 0.016795, 9.7e-05
299, 0.016671, 0.000108
300, 0.016704, 0.000105
301, 0.016892, 0.0001
302, 0.016459, 0.000126
303, 0.016942, 0.000104
304, 0.016485, 9.7e-05
305, 0.016663, 0.000109
306, 0.01699, 0.000102
307, 0.016549, 0.0001
308, 0.016573, 0.000106
309, 0.01693, 0.000103
310, 0.016526, 0.000108
311, 0.016646, 0.000105
312, 0.017006, 9.8e-05
313, 0.016431, 0.000108
314, 0.017194, 0.000145
315, 0.0165, 9.9e-05
316, 0.016527, 0.000104
317, 0.016806, 0.0001
318, 0.016873, 9.9e-05
319, 0.016278, 0.00011
320, 0.016696, 0.0001
321, 0.017085, 0.00011
322, 0.016252, 0.000108
323, 0.01684, 9.8e-05
324, 0.017029, 0.000107
325, 0.016219, 0.000132
326, 0.017046, 9.6e-05
327, 0.016414, 0.000109
328, 0.017043, 9.7e-05
329, 0.016345, 9.9e-05
330, 0.017107, 0.000108
331, 0.016499, 9.9e-05
332, 0.016762, 0.000121
333, 0.01676, 0.000111
334, 0.016433, 9.8e-05
335, 0.016934, 0.000121
336, 0.016501, 0.000105
337, 0.016922, 0.0001
338, 0.016491, 0.000105
339, 0.016753, 0.0001
340, 0.016842, 0.000104
341, 0.016397, 0.000141
342, 0.016786, 0.0001
343, 0.016889, 0.000106
344, 0.016403, 0.000104
345, 0.016992, 0.00013
346, 0.016461, 0.000109
347, 0.016596, 0.000107
348, 0.016971, 9.9e-05
349, 0.017001, 0.000174
350, 0.016286, 9.5e-05
351, 0.016781, 9.8e-05
352, 0.01665, 0.000129
353, 0.016603, 0.0001
354, 0.016629, 0.000107
355, 0.017009, 0.00013
356, 0.01635, 9.7e-05
357, 0.016892, 0.00011
358, 0.016432, 0.000123
359, 0.01679, 0.0001
360, 0.01668, 0.000123
361, 0.016976, 0.000102
362, 2.53725, 0.000157
363, 0.013226, 0.000296
364, 0.008782, 0.000132
365, 0.018816, 0.000144
366, 0.014773, 0.000186
367, 0.01665, 0.000107
368, 0.015767, 0.000306
369, 0.018126, 0.000718
370, 0.022749, 0.000114
371, 0.026247, 0.00011
372, 0.015399, 0.000111
373, 0.018173, 9.9e-05
374, 0.016424, 0.000124
375, 0.017028, 9.9e-05
376, 0.01641, 0.000119
377, 0.016691, 0.000114
378, 0.016494, 9.4e-05
379, 0.017838, 0.000107
380, 0.015843, 0.000108
381, 0.017334, 9.7e-05
382, 0.017577, 0.000199
383, 0.016581, 0.000186
384, 0.016625, 0.000188
385, 0.017016, 0.000228
386, 0.016634, 0.000186
387, 0.015415, 0.000136
388, 0.016984, 0.000139
389, 0.016345, 0.00013
390, 0.017699, 0.000173
391, 0.014573, 0.000136
392, 0.016469, 0.00013
393, 0.016861, 0.000149
394, 0.016721, 9.6e-05
395, 0.016789, 0.000104
396, 0.016909, 0.000105
397, 0.016491, 0.000131
398, 0.017235, 0.000109
399, 0.016595, 0.000111
400, 0.015863, 9.9e-05
401, 0.017144, 0.000135
402, 0.016007, 0.000108
403, 0.016921, 0.000107
404, 0.016507, 0.000204
405, 0.01675, 0.000102
406, 0.016807, 9.7e-05
407, 0.016541, 0.000106
408, 0.017183, 9.7e-05
409, 0.016219, 0.000151
410, 0.016809, 0.000106
411, 0.016651, 9.7e-05
412, 0.016832, 0.000125
413, 0.016431, 0.000109
414, 0.016721, 9.7e-05
415, 0.016647, 0.000112
416, 0.0167, 9.7e-05
417, 0.016743, 0.0001
418, 0.017102, 0.000133
419, 0.016639, 9.7e-05
420, 0.017035, 0.000108
421, 0.01608, 0.000119
422, 0.017298, 0.0001
423, 0.016473, 0.000109
424, 0.016213, 0.000159
425, 0.01668, 0.0001
426, 0.017196, 0.000109
427, 0.016759, 0.00023
428, 0.016147, 9.9e-05
429, 0.016674, 0.000107
430, 0.016711, 9.8e-05
431, 0.017298, 0.000121
432, 0.016006, 0.000103
433, 0.016879, 0.000101
434, 0.016552, 0.000105
435, 0.017457, 0.000189
436, 0.016696, 9.8e-05
437, 0.016548, 0.000108
438, 0.016729, 9.7e-05
439, 0.018341, 9.7e-05
440, 0.029409, 0.000466
441, 0.024253, 0.000118
442, 0.014966, 0.000253
443, 0.014833, 0.000126
444, 0.016713, 0.000116
445, 0.016156, 0.000131
446, 0.015979, 0.000109
447, 0.017276, 0.000116
448, 0.0168, 0.000116
449, 0.016001, 0.000112
450, 0.016975, 0.000133
451, 0.015766, 0.00014
452, 0.016882, 0.000101
453, 0.016674, 0.000114
454, 0.016746, 0.000107
455, 0.016549, 0.000106
456, 0.016702, 0.000195
457, 0.017116, 0.000109
458, 0.016018, 0.0001
459, 0.016575, 0.000123
460, 0.016812, 0.000135
461, 0.016543, 0.000101
462, 0.01611, 0.000114
463, 0.016936, 9.9e-05
464, 0.016615, 0.000129
465, 0.016717, 0.000112
466, 0.016211, 9.7e-05
467, 0.016718, 0.000111
468, 0.017123, 0.000141
469, 0.016519, 0.0001
470, 0.016581, 0.000107
471, 0.016804, 9.9e-05
472, 0.016656, 0.000125
473, 0.016583, 0.000109
474, 0.01697, 9.8e-05
475, 0.016307, 0.000107
